,total_departure,total_arrival,total_departure_lg10,total_arrival_lg10,averge_departure_distance,averge_arrival_distance,average_departure_taxi,average_arrival_taxi,city_name,code4,latitude,longitude,altitude_ft,city_id,fips,population,temp_avg,pcp_avg,strike_avg,damage_avg,enplanements,length_ft_sum,width_ft_avg,runway_count
AVL,7694.0,7700.0,3.8861521819707967,3.886490725172482,301.7531842994541,301.79987012987016,17.42845734060961,5.027091633466135,asheville,KAVL,35.43619918823242,-82.54180145263672,2165.0,7074,37021,309250,54.37385892116181,4.1846473029045645,2.3333333333333335,0.3333333333333333,764664.0,8001.0,150.0,1.0
AVP,3356.0,3357.0,3.5258219521566625,3.5259513412480126,472.7258641239571,472.70390229371463,15.996925914540425,4.434835939895738,scranton,KAVP,41.338500976599995,-75.72339630130001,962.0,10109,42069,389022,47.44315352697097,3.906929460580914,0.0,0.0,390886.0,11801.0,150.0,2.0
AZO,2805.0,2806.0,3.4479328655921804,3.448087666692341,179.95258467023172,180.04027084818247,18.552496328928047,3.7635630498533725,kalamazoo,KAZO,42.234901428222656,-85.5521011352539,874.0,25295,26077,214083,48.94937759336102,3.1860995850622404,0.0,0.0,222736.5,12736.0,103.33333333333333,3.0
BDL,28316.0,28314.0,4.452031903656812,4.452001227726593,815.9098742760277,815.9172847354665,13.441331694621168,5.357086130965273,windsor,KBDL,41.9388999939,-72.68319702149999,173.0,20036,9003,1315,50.245643153527,4.124149377593362,11.333333333333334,0.5833333333333334,4803664.5,21502.0,150.0,3.0
BFF,573.0,573.0,2.75815462196739,2.75815462196739,150.0,150.0,16.612280701754386,4.0017543859649125,scottsbluff,KBFF,41.87400055,-103.5960007,3967.0,8027,31157,25662,48.93195020746887,1.2637344398340242,0.0,0.0,10856.5,16280.0,150.0,2.0
BFL,2324.0,2324.0,3.366236123718293,3.366236123718293,505.5989672977625,505.5989672977625,16.67362016514559,4.733420026007803,bakersfield,KBFL,35.43360138,-119.0569992,510.0,13984,6029,574362,62.538589211618245,0.6709958506224067,0.0,0.0,152024.0,14557.0,112.5,2.0
BGM,920.0,920.0,2.963787827345555,2.963787827345555,378.0,378.0,18.0979097909791,4.0,binghamton,KBGM,42.20869827,-75.97979736,1636.0,9733,36007,6240,46.88672199170124,3.7999170124481316,0.0,0.0,51616.0,12102.0,150.0,2.0
BGR,4090.0,4088.0,3.611723308007342,3.611510887126656,532.6364303178484,532.5134540117417,17.511883465371838,5.103050499871828,bangor,KBGR,44.80739974975586,-68.82810211181639,192.0,20141,23019,59107,42.86348547717842,3.7615767634854747,0.25,0.08333333333333333,470429.0,11440.0,200.0,1.0
BHM,18297.0,18295.0,4.262379888077364,4.262332413822627,511.4673990271629,510.1398742825909,14.797919100873532,3.6596276743539873,birmingham,KBHM,33.56290054,-86.75350189,650.0,14439,1073,744189,62.74979253112031,4.648755186721991,0.0,0.0,2062748.0,17100.0,150.0,2.0
BIL,4152.0,4150.0,3.6182573448404014,3.6180480967120925,600.9513487475915,601.0397590361446,13.948413659481714,3.9840193704600484,billings,KBIL,45.807701110839844,-108.54299926757812,3652.0,26297,30111,120800,46.68257261410788,1.205103734439834,0.4166666666666667,0.08333333333333333,635224.5,19820.0,100.0,3.0
BIS,3667.0,3665.0,3.5643109099606027,3.564073978977147,580.877556585765,587.4283765347885,16.573802270839103,5.260809312638581,bismarck,KBIS,46.77270126342773,-100.74600219726562,1661.0,7421,38015,97457,41.601244813277994,1.531078838174273,1.9166666666666667,0.25,417697.0,15394.0,125.0,2.0
BJI,740.0,740.0,2.8692317197309762,2.8692317197309762,199.0,199.0,17.93080054274084,4.681632653061224,bemidji,KBJI,47.50939941,-94.93370056,1391.0,24117,27007,16733,39.19958506224067,2.0044813278008298,0.0,0.0,44078.5,12297.0,150.0,2.0
BLI,2225.0,2225.0,3.3473300153169503,3.3473300153169503,873.645393258427,881.6188764044944,13.574728260869565,5.86102308736985,bellingham,KBLI,48.79280090332031,-122.53800201416016,170.0,387,53073,126015,44.73360995850623,5.97622406639004,0.6666666666666666,0.0,554115.0,6701.0,150.0,1.0
BLV,1019.0,1018.0,3.0081741840064264,3.00774777800074,881.9528949950932,881.9931237721022,11.461918892185954,6.37314906219151,belleville,KBLV,38.5452,-89.835197,459.0,16264,17163,41649,56.53070539419087,3.59103734439834,0.0,0.0,199980.0,18001.0,150.0,2.0
BMI,3173.0,3172.0,3.501470072100412,3.501333178645566,464.2858493539237,464.3139974779319,14.957819597663855,4.050469103849887,bloomington,KBMI,40.47710037,-88.91590118,871.0,15817,17113,134892,51.485062240663915,3.23381742738589,0.0,0.0,252503.5,18248.0,133.33333333333334,3.0
BNA,74263.0,74261.0,4.870772489424601,4.870760793147046,702.5277998464916,701.8697028049717,14.00429049668648,6.404755401382098,nashville,KBNA,36.1245002746582,-86.6781997680664,599.0,8671,47037,1076645,59.39170124481333,4.35871369294606,30.333333333333332,1.4166666666666667,10911444.5,34734.0,150.0,4.0
BOI,19191.0,19189.0,4.283097605437225,4.283052342854391,620.4156635923089,620.1697847725259,14.660282574568289,3.9960246887749764,boise,KBOI,43.56439972,-116.22299960000001,2871.0,19916,16001,385218,52.08962655601663,0.9826556016597514,3.25,0.3333333333333333,2749232.5,24763.0,125.0,3.0
BOS,148191.0,148180.0,5.170821828683622,5.170789590446391,990.5584752110452,990.7875421784316,20.068025325925824,8.073169210728713,boston,KBOS,42.36429977,-71.00520325,20.0,19203,25025,4637537,50.743983402489654,4.0958506224066396,21.25,1.25,28763002.5,42506.0,133.33333333333334,6.0
BPT,851.0,851.0,2.929929560084588,2.929929560084588,270.0,270.0,14.745721271393643,3.919512195121951,beaumont,KBPT,29.9507999420166,-94.02069854736328,15.0,4714,48245,148954,69.2473029045643,5.117261410788382,0.0,0.0,37614.0,11820.0,150.0,2.0
BQK,1038.0,1038.0,3.016197353512439,3.016197353512439,238.0,238.0,18.268482490272373,3.6264591439688716,brunswick,KBQK,31.2588005065918,-81.46649932861328,26.0,17012,13127,54017,68.08672199170127,3.9560995850622382,0.0,0.0,56654.5,8001.0,150.0,1.0
BRD,637.0,637.0,2.8041394323353503,2.8041394323353503,114.0,114.0,18.642172523961662,4.5111821086261985,brainerd,KBRD,46.39830017,-94.13809967,1232.0,24818,27035,19574,41.694605809128646,2.4128215767634864,0.0,0.0,32499.5,19880.0,112.5,4.0
BRO,2607.0,2610.0,3.416141031168329,3.416640507338281,391.8158803222094,391.61992337164753,13.544338875692794,4.76810447170558,brownsville,KBRO,25.90679931640625,-97.4259033203125,22.0,4201,48061,227883,75.06099585062243,2.07713692946058,0.0,0.0,174052.5,16400.0,125.0,3.0
BTM,677.0,677.0,2.8305886686851442,2.8305886686851442,358.0,358.0,14.729289940828401,3.5133136094674557,butte,KBTM,45.95479965209961,-112.49700164794922,5550.0,26437,30093,30628,40.03153526970952,1.4530290456431543,0.0,0.0,40604.5,19646.0,100.0,3.0
BTR,7576.0,7579.0,3.879439965995217,3.879611907065851,406.02151531151003,405.9780973743238,14.84579251107234,4.271009248090069,baton,KBTR,30.53319931,-91.14959717,70.0,5942,22033,583613,67.84771784232368,5.18585062240664,0.0,0.0,572723.5,17703.0,125.0,3.0
BTV,9727.0,9729.0,3.987978915875482,3.9880682033926353,459.2354271615092,459.1085414739439,18.23790667808219,4.946892294593444,burlington,KBTV,44.471900939899996,-73.15329742429998,335.0,15459,50007,108277,44.64688796680498,3.6720331950207483,2.75,0.16666666666666666,907453.5,11931.0,112.5,2.0
BUF,26248.0,26250.0,4.419096217377991,4.419129307741976,564.4158412069492,564.4193142857143,14.57297001446499,4.474844853830842,buffalo,KBUF,42.94049835,-78.73220062,728.0,9353,36029,926261,47.76680497925313,3.5270124481327803,0.0,0.0,3610091.0,15263.0,150.0,2.0
BUR,26583.0,26587.0,4.424603991276581,4.424669335565875,469.17086107662794,469.18178056945123,13.545906846798577,2.802371843917368,burbank,KBUR,34.200698852539055,-118.35900115966795,778.0,13146,6037,104834,62.333195020746885,1.1211203319502068,0.0,0.0,3742226.0,12687.0,150.0,2.0
BWI,106739.0,106736.0,5.028323129734982,5.028310923308508,806.9129090585446,806.93165380003,14.43267158904818,5.415826965667335,baltimore,KBWI,39.17539978,-76.66829681,146.0,20595,24005,7565,54.895020746887965,4.028962655601658,0.0,0.0,19662462.0,31003.0,150.0,4.0
BZN,5841.0,5843.0,3.766487206239694,3.7666358863102674,804.4358842663927,804.2387472188944,16.22367515485203,5.314005505849965,bozeman,KBZN,45.77750015,-111.15299990000001,4473.0,26240,30031,53949,40.18630705394191,2.0044398340248963,0.5833333333333334,0.0,933859.5,14850.0,101.66666666666667,3.0
CAE,6817.0,6818.0,3.8335932939984563,3.833656996892872,340.73126008508143,340.6880316808448,15.23553284232677,4.495723930982746,columbia,KCAE,33.93880081176758,-81.11949920654297,236.0,27331,45063,17265,63.66348547717841,3.7660995850622414,0.0,0.0,793518.0,16602.0,150.0,2.0
CAK,7510.0,7510.0,3.8756399370041685,3.8756399370041685,416.86631158455396,416.9810918774967,17.19923319183897,5.745084559329025,akron,KCAK,40.916099548339844,-81.44219970703125,1228.0,21498,39153,565920,50.8091286307054,3.382614107883815,0.0,0.0,844186.5,20797.0,150.0,3.0
CDC,622.0,623.0,2.7937903846908188,2.7944880466591697,221.0,221.0,16.834138486312398,3.4106280193236715,cedar,KCDC,37.70100021362305,-113.0989990234375,5622.0,22875,49021,36592,49.54481327800832,1.2078838174273856,0.0,0.0,23505.5,13475.0,105.0,2.0
CGI,625.0,625.0,2.7958800173440754,2.7958800173440754,273.4784,273.4784,20.40464344941957,4.910016977928692,cape,KCGI,37.22529983520508,-89.57080078125,342.0,23779,29031,54588,57.129460580912834,4.091244813278006,0.3333333333333333,0.08333333333333333,10901.0,10495.0,125.0,2.0
CHA,8511.0,8515.0,3.9299805905155147,3.9301846522986197,329.3051345317824,329.52847915443334,16.89212758332338,5.464076509264793,chattanooga,KCHA,35.03530120849609,-85.20379638671875,683.0,8656,47065,407182,59.72282157676348,4.700373443983402,0.0,0.0,734529.5,12400.0,150.0,2.0
CHO,5574.0,5576.0,3.7461669643772852,3.746322765089953,360.9219590958019,360.9076398852224,16.633283693224126,4.164684014869889,charlottesville,KCHO,38.13859939575195,-78.4529037475586,639.0,12112,51540,102016,56.85684647302905,3.7265145228215775,0.0,0.0,510755.0,6001.0,150.0,1.0
CHS,23941.0,23946.0,4.379142286647321,4.379232978167667,541.0172925107556,541.0000835212562,14.880999913201979,6.098550097381519,charleston,KCHS,32.89860153,-80.04049683,46.0,27330,45019,616085,66.09377593360998,4.037842323651452,0.0,0.0,3042145.5,16005.0,175.0,2.0
CID,9232.0,9231.0,3.9652957958116564,3.965248750967121,501.1151429809359,500.9957751056224,15.883425414364641,6.266357718194858,cedar,KCID,41.88470077514648,-91.71080017089844,869.0,18468,19113,186160,48.239419087136916,3.149709543568465,0.0,0.0,875665.0,14801.0,150.0,2.0
CIU,673.0,673.0,2.828015064223977,2.828015064223977,365.445765230312,365.445765230312,21.949924127465856,4.571212121212121,sault,KCIU,46.25080108642578,-84.47239685058594,800.0,25059,26033,12637,41.41535269709541,2.8538589211618257,0.16666666666666666,0.08333333333333333,33923.0,12201.0,137.5,2.0
CKB,807.0,807.0,2.90687353472207,2.90687353472207,361.3271375464684,361.3271375464684,17.305837563451778,4.198482932996208,clarksburg,KCKB,39.2966003418,-80.2281036377,1217.0,1753,54033,41453,53.1605809128631,4.00244813278008,0.0,0.0,43563.5,7800.0,150.0,1.0
CLE,48385.0,48389.0,4.684710745386093,4.684746647135088,648.9983879301436,649.9315340263283,15.76367587181705,7.052390791027155,cleveland,KCLE,41.411701202399996,-81.8498001099,791.0,22568,39035,1730363,50.91452282157676,3.415311203319501,0.0,0.0,6797411.5,31112.0,150.0,4.0
CLL,2312.0,2314.0,3.3639878297484915,3.3643633546157306,128.65397923875432,128.81114952463267,11.138999557326251,4.578366445916115,college,KCLL,30.58860016,-96.36380005,320.0,4239,48041,207308,68.12531120331948,3.5231120331950203,0.0,0.0,113084.5,17308.0,150.0,3.0
CLT,233317.0,233309.0,5.36794638361679,5.367931492222588,553.3273957748471,553.7202593984802,20.219262862949165,12.292681958360356,charlotte,KCLT,35.2140007019043,-80.94309997558594,748.0,7152,37119,1467362,60.70580912863072,3.598008298755187,30.583333333333332,1.8333333333333333,33152225.5,36178.0,150.0,4.0
CMH,45805.0,45808.0,4.660912887477406,4.660941330677524,608.8167885602008,608.7954069158226,14.975013930680932,5.911555080404472,columbus,KCMH,39.99800109863281,-82.89189910888672,815.0,21652,39049,1528314,52.86141078838175,3.549502074688795,13.833333333333334,0.6666666666666666,5677880.0,18125.0,150.0,2.0
CMI,2368.0,2369.0,3.374381698050882,3.374565060722765,295.9695945945946,296.535246939637,13.087357330992099,4.552920509442249,champaign,KCMI,40.03919983,-88.27809906,755.0,15692,17019,156794,52.12987551867219,3.303568464730291,0.0,0.0,155072.0,23716.0,131.25,4.0
CMX,725.0,728.0,2.8603380065709936,2.862131379313037,360.0,359.760989010989,18.45072463768116,4.587463556851312,hancock,KCMX,47.16839981079102,-88.48909759521484,1095.0,25076,26061,4560,40.961410788381755,2.562821576763485,0.0,0.0,36863.5,11697.0,125.0,2.0
CNY,420.0,420.0,2.6232492903979003,2.6232492903979003,283.0,283.0,16.77937649880096,4.892086330935252,moab,KCNY,38.75500107,-109.7549973,4557.0,22745,49019,7164,51.837344398340264,0.9698340248962649,0.0,0.0,17049.5,7100.0,75.0,1.0
COD,822.0,824.0,2.9148718175400505,2.9159272116971158,350.4963503649635,350.0764563106796,18.76231527093596,4.220172201722018,cody,KCOD,44.520198822,-109.024002075,5102.0,2936,56029,9696,39.28838174273861,1.828340248962655,0.4166666666666667,0.0,59281.5,8268.0,100.0,1.0
COS,10338.0,10335.0,4.0144365278316725,4.0143104809633074,624.1382278970788,615.2686985970005,19.6518540317834,7.271594032194739,colorado,KCOS,38.805801391602,-104.70099639893,6187.0,12487,8041,623946,48.496265560165966,1.2830290456431537,6.916666666666667,0.4166666666666667,1238710.0,32792.0,150.0,3.0
COU,2225.0,2224.0,3.3473300153169503,3.34713478291002,438.4211235955056,438.31654676258995,16.39760147601476,3.938220378054403,columbia,KCOU,38.81809997558594,-92.21959686279295,889.0,23891,29019,139945,54.87510373443982,3.5255186721991714,0.5833333333333334,0.08333333333333333,148767.5,12001.0,125.0,2.0
CPR,985.0,985.0,2.9934362304976116,2.9934362304976116,294.88426395939086,295.0365482233503,15.292260692464358,4.199186991869919,casper,KCPR,42.90800095,-106.4639969,5350.0,3074,56025,67462,44.306639004149396,0.9732780082987553,0.3333333333333333,0.0,140295.5,33023.0,105.0,4.0
CRP,5562.0,5561.0,3.7452309845281406,3.7451528950769,259.2047824523553,259.20086315410896,12.850332594235033,4.35959409594096,corpus,KCRP,27.77039909362793,-97.5011978149414,44.0,4868,48355,341435,73.12199170124482,2.347012448132781,2.25,0.16666666666666666,486512.5,13588.0,150.0,2.0
CRW,4632.0,4630.0,3.66576855071938,3.6655809910179533,343.3894645941278,343.1652267818574,15.051812319323993,3.5878288007133303,charleston,KCRW,38.37310028076172,-81.59320068359375,981.0,1608,54039,142858,55.4112033195021,3.8947302904564305,2.6666666666666665,0.25,311214.5,11053.0,150.0,2.0
CSG,1277.0,1277.0,3.1061908972634154,3.1061908972634154,83.0,83.0,16.98178939034046,3.319620253164557,columbus,KCSG,32.516300201416016,-84.93890380859375,397.0,17000,13215,259160,64.57385892116183,4.1306639004149375,0.0,0.0,74450.0,10994.0,150.0,2.0
CVG,49594.0,49590.0,4.6954291376895725,4.69539410829111,633.3873452433762,634.6237951199839,15.949627862987787,6.0119541551986195,cincinnati,KCVG,39.0488014221,-84.6678009033,896.0,22002,39061,1648254,54.45892116182573,3.784937759336102,25.166666666666668,1.4166666666666667,5926618.0,41000.0,150.0,4.0
CWA,2853.0,2854.0,3.4553017716570764,3.4554539687786283,234.64107956536978,234.6334968465312,16.811015118790497,3.8916008614501076,wassau,KCWA,44.7775993347,-89.6668014526,1277.0,1198,55073,4002,42.87344398340246,2.7656431535269705,0.4166666666666667,0.0,178720.0,14146.0,150.0,2.0
CYS,58.0,58.0,1.7634279935629373,1.7634279935629373,713.0,713.0,16.12280701754386,3.7017543859649122,cheyenne,KCYS,41.15570068,-104.81199649999999,6159.0,2982,56021,78728,46.27178423236517,1.3129460580912862,0.25,0.0,3511.0,15958.0,150.0,2.0
DAB,3548.0,3548.0,3.5499836111596887,3.5499836111596887,440.1333145434047,440.1333145434047,14.685174585002862,3.910908052541405,daytona,KDAB,29.179899,-81.058098,34.0,2220,12127,68055,71.9369294605809,4.2521576763485465,5.083333333333333,1.0833333333333333,529953.5,19696.0,133.33333333333334,3.0
DAL,70995.0,71003.0,4.851227763523675,4.851276698802467,731.624593281217,731.6043265777503,12.362970053720424,5.1803977679210185,dallas,KDAL,32.84709930419922,-96.85179901123048,487.0,4464,48113,5733259,66.33692946058092,3.224854771784232,21.083333333333332,1.0833333333333333,11598971.5,22699.0,150.0,3.0
DAY,14076.0,14074.0,4.148479258163154,4.148417546691377,459.122406933788,457.37288617308513,15.629106607155922,5.236481033091202,dayton,KDAY,39.90240097045898,-84.21939849853516,1009.0,22131,39113,718169,53.04273858921163,3.5629875518672227,0.0,0.0,1364384.0,26403.0,150.0,3.0
DBQ,1009.0,1009.0,3.0038911662369103,3.0038911662369103,147.0,147.0,15.260188087774294,4.552549427679501,dubuque,KDBQ,42.40200043,-90.70950317,1077.0,18681,19061,68573,47.53734439834021,3.306887966804978,1.0,0.0,59739.5,12829.0,125.0,2.0
DCA,132517.0,132518.0,5.122271595500042,5.122274872761399,641.2327625889509,641.2256976410752,19.429574016647624,6.730245210430187,washington,KDCA,38.8521,-77.037697,15.0,697,11001,5289420,56.90539419087132,3.7179253112033215,0.0,0.0,17189695.5,16984.0,150.0,3.0
DEN,235989.0,236020.0,5.372891759958927,5.372948806027788,894.8748670488878,893.3131344801288,17.12659896182112,8.373806543665017,denver,KDEN,39.861698150635,-104.672996521,5431.0,12400,8031,2787266,51.202074688796664,1.2218672199170126,39.666666666666664,2.25,45490567.5,76000.0,158.33333333333334,6.0
DFW,279298.0,279272.0,5.446067825811733,5.446027395224563,784.1159156170112,784.0063808759919,18.678155256540794,12.141215286922424,dallas,KDFW,32.896800994873054,-97.03800201416016,607.0,4464,48113,5733259,66.33692946058092,3.224854771784232,66.91666666666667,4.416666666666667,48227832.5,80403.0,171.42857142857142,7.0
DHN,1374.0,1374.0,3.137986732723532,3.137986732723532,170.0,170.0,20.58199121522694,3.8140556368960468,dothan,KDHN,31.3213005065918,-85.44960021972656,401.0,14775,1069,71620,66.98091286307056,4.494398340248967,0.0,0.0,73731.5,13498.0,150.0,2.0
DLH,2798.0,2798.0,3.446847710155809,3.446847710155809,250.6072194424589,250.6072194424589,19.58230152949745,5.391478514202476,duluth,KDLH,46.8420982361,-92.19360351559999,1428.0,24157,27137,120101,38.57178423236513,2.3439419087136937,0.3333333333333333,0.0,191129.0,15851.0,150.0,2.0
DRO,3125.0,3125.0,3.494850021680094,3.494850021680094,414.8304,414.8304,16.225384363755314,4.854105332024861,durango,KDRO,37.1515007019,-107.75399780299999,6685.0,12600,8067,19662,45.466804979253126,1.7374688796680506,0.0,0.0,281529.5,9201.0,150.0,1.0
DRT,114.0,115.0,2.0569048513364727,2.060697840353612,335.0,335.0,16.787610619469028,4.831858407079646,del,KDRT,29.3742008209,-100.92700195299999,1002.0,4317,48465,44424,68.51327800829876,1.618838174273859,0.0,0.0,2163.0,6300.0,100.0,1.0
DSM,15576.0,15577.0,4.1924559385119755,4.192483819902663,638.1654468412943,635.3589908197985,15.287024986985944,5.596731132382627,des,KDSM,41.53400039672852,-93.66310119628906,958.0,18352,19153,481222,49.90705394190871,3.042572614107884,11.666666666666666,0.6666666666666666,1931459.0,18004.0,150.0,2.0
DTW,157518.0,157488.0,5.197330188944701,5.197247467761635,653.9767836056832,653.7393896677842,19.052804645885814,8.356745319312644,detroit,KDTW,42.212398529052734,-83.35340118408203,645.0,24930,26115,1797,50.33236514522823,2.9077593360995855,26.75,0.8333333333333334,25754510.5,57713.0,175.0,6.0
DVL,626.0,627.0,2.7965743332104296,2.7972675408307164,317.05750798722045,83.0,20.248333333333335,5.471476510067114,devils,KDVL,48.11420059,-98.90879822,1456.0,7414,38071,7602,38.863070539419084,1.6653112033195017,0.0,0.0,11081.0,9822.0,112.5,2.0
EAU,720.0,720.0,2.8573324964312685,2.8573324964312685,269.0,269.0,18.127690100430417,3.9583931133428982,eau,KEAU,44.86579895019531,-91.48429870605469,913.0,1340,55035,107068,44.19419087136931,2.8941078838174263,0.0,0.0,34797.0,13100.0,125.0,2.0
EGE,2154.0,2153.0,3.3332456989619628,3.3330440298234874,780.5687093779015,779.9874593590339,18.377809660449547,6.7503579952267305,vail,KEGE,39.64260101,-106.9179993,6548.0,12437,8037,6017,39.963070539419085,1.9309128630705388,0.25,0.0,241508.5,14013.0,105.0,2.0
EKO,647.0,647.0,2.8109042806687006,2.8109042806687006,200.0,200.0,13.477449455676517,4.318322981366459,elko,KEKO,40.82490158081055,-115.79199981689452,5140.0,11767,32007,21178,45.57095435684644,1.176763485477178,0.0,0.0,26296.5,10085.0,105.0,2.0
ELM,333.0,333.0,2.5224442335063197,2.5224442335063197,920.4024024024025,919.2462462462463,13.882530120481928,5.518072289156627,elmira,KELM,42.1599006652832,-76.8916015625,954.0,9848,36015,3893,47.09834024896265,3.1925311203319495,0.0,0.0,197009.5,14421.0,150.0,3.0
